Currency,B/S,Date Open,Open Price,Date Close,Close Price,P/L pips,P/L ($),Total Pips,,Open Trade Investment ($),Open Trade Share (%),Trade P/L ($),Commission ($),Amount Changed ($),Closed Trade Investment ($),Closed Trade Share (%),,Open Trade Investment ($),Open Trade Share (%),Trade P/L ($),Commission ($),Amount Changed ($),Closed Trade Investment ($),Closed Trade Share (%),,Open Trade Investment ($),Open Trade Share (%),Trade P/L ($),Commission ($),Amount Changed ($),Closed Trade Investment ($),Closed Trade Share (%),,Open Trade Investment ($),Open Trade Share (%),Trade P/L ($),Commission ($),Amount Changed ($),Closed Trade Investment ($),Closed Trade Share (%),,Open Trade Investment ($),Open Trade Share (%),Trade P/L ($),Commission ($),Amount Changed ($),Closed Trade Investment ($),Closed Trade Share (%)
EURJPY,S,2017-09-17-10-00,132.739,,,,,,,2126.97,,,,,,,,1063.49,,,,,,,,1063.49,,,,,,,,3190.46,,,,,,,,4253.95,,,,,,
EURJPY,S,2017-09-19-10-00,133.739,,,,,,,2126.97,,,,,,,,1063.49,,,,,,,,1063.49,,,,,,,,3190.46,,,,,,,,4253.95,,,,,,
EURJPY,S,2017-10-17-10-00,132.089,,,,,,,1225.88,,,,,,,,1800.09,,,,,,,,1800.09,,,,,,,,4185.19,,,,,,,,4861.69,,,,,,
EURCAD,S,2017-10-31-10-00,1.5012,,,,,,,1366.15,,,,,,,,2021.76,,,,,,,,2021.76,,,,,,,,4695.12,,,,,,,,5449.83,,,,,,
EURCAD,S,2017-11-02-09-13,1.49598,,,,,,,1955.01995,,,,,,,,2041.32156,,,,,,,,2041.32156,,,,,,,,4387.97079,,,,,,,,5061.4924,,,,,,
EURCAD,S,2017-11-07-18-12,1.48042,,,,,,,1985.57594,,,,,,,,2072.36972,,,,,,,,2072.36972,,,,,,,,4458.8376,,,,,,,,5145.04321,,,,,,
EURCAD,S,2017-11-13-12-59,1.48412,,,,,,,2013.57479,,,,,,,,2101.51861,,,,,,,,2101.51861,,,,,,,,4521.47012,,,,,,,,5217.27407,,,,,,
EURAUD,S,2017-11-13-23-15,1.52948,,,,,,,2013.57479,,,,,,,,2101.51861,,,,,,,,2101.51861,,,,,,,,4521.47012,,,,,,,,5217.27407,,,,,,
EURAUD,S,2017-11-14-09-52,1.53953,,,,,,,2013.57479,,,,,,,,2101.51861,,,,,,,,2101.51861,,,,,,,,4521.47012,,,,,,,,5217.27407,,,,,,
EURAUD,S,2017-11-14-19-30,1.54948,,,,,,,2013.57479,,,,,,,,2101.51861,,,,,,,,2101.51861,,,,,,,,4521.47012,,,,,,,,5217.27407,,,,,,
EURAUD,S,2017-11-15-03-38,1.55949,,,,,,,2013.57479,,,,,,,,2101.51861,,,,,,,,2101.51861,,,,,,,,4521.47012,,,,,,,,5217.27407,,,,,,
EURCAD,S,2017-11-15-09-30,1.51091,,,,,,,2013.57479,,,,,,,,2101.51861,,,,,,,,2101.51861,,,,,,,,4521.47012,,,,,,,,5217.27407,,,,,,
GBPNZD,S,2017-11-16-13-32,1.92199,,,,,,,2051.26994,,,,,,,,2140.76206,,,,,,,,2140.76206,,,,,,,,4605.79291,,,,,,,,5314.51922,,,,,,
GBPNZD,S,2017-11-17-02-05,1.93699,,,,,,,2051.26994,,,,,,,,2140.76206,,,,,,,,2140.76206,,,,,,,,4605.79291,,,,,,,,5314.51922,,,,,,
GBPNZD,S,2017-11-17-04-04,1.95199,,,,,,,2051.26994,,,,,,,,2140.76206,,,,,,,,2140.76206,,,,,,,,4605.79291,,,,,,,,5314.51922,,,,,,
EURJPY,S,2017-11-19-21-57,131.449,,,,,,,2090.2235,,,,,,,,2181.3156,,,,,,,,2181.3156,,,,,,,,4692.93072,,,,,,,,5415.01077,,,,,,
USDCHF,B,2017-11-21-00-01,0.99316,,,,,,,2080.65887,,,,,,,,2171.35811,,,,,,,,2171.35811,,,,,,,,4671.53496,,,,,,,,5390.33614,,,,,,
USDCHF,B,2017-11-23-10-15,0.98142,,,,,,,2080.65887,,,,,,,,2171.35811,,,,,,,,2171.35811,,,,,,,,4671.53496,,,,,,,,5390.33614,,,,,,
EURCAD,S,2017-11-28-08-38,1.52292,,,,,,,2080.65887,,,,,,,,2171.35811,,,,,,,,2171.35811,,,,,,,,4671.53496,,,,,,,,5390.33614,,,,,,
GBPNZD,S,2017-11-29-20-54,1.967,,,,,,,2096.65225,,,,,,,,2188.00841,,,,,,,,2188.00841,,,,,,,,4707.31162,,,,,,,,5431.59552,,,,,,
EURCAD,S,2017-11-30-10-57,1.53491,,,,,,,2096.65225,,,,,,,,2188.00841,,,,,,,,2188.00841,,,,,,,,4707.31162,,,,,,,,5431.59552,,,,,,
EURCAD,S,2017-12-01-00-01,1.53491,2017-12-01-00-02,1.53491,0.0,0.0,,,2325.16,14.0316108931,0.0,0.0,,2325.16,14.0316108931,,2182.64,13.1715474203,0.0,0.0,,2182.64,13.1715474203,,2182.64,13.1715474203,0.0,0.0,,2182.64,13.1715474203,,4587.53,27.6843038416,0.0,0.0,,4587.53,27.6843038416,,5292.9,31.9409904248,0.0,0.0,,5292.9,31.9409904248
GBPJPY,S,2017-12-03-20-15,151.833,,,,,,,2325.16,,,,,,,,2182.64,,,,,,,,2182.64,,,,,,,,4587.53,,,,,,,,5292.9,,,,,,
AUDCAD,S,2017-12-05-05-16,0.96735,,,,,,,2325.16,,,,,,,,2182.64,,,,,,,,2182.64,,,,,,,,4587.53,,,,,,,,5292.9,,,,,,
